VirusFamily,VirusGenus,VirusSpecies,SeverityDiseaseHumans,KnownMammal_TerrPathogenicity,KnownBirdPathogenicity,KnownOtherAnimalPathogenicity
Picobirnaviridae,Picobirnavirus,Rabbit picobirnavirus,None,None,None,None
Rhabdoviridae,Lyssavirus,Rabies lyssavirus,Deadly,Deadly,None,None
Poxviridae,Orthopoxvirus,Raccoonpox virus,None,None,None,None
Adenoviridae,Siadenovirus,Raptor siadenovirus A,None,None,Deadly,None
Reoviridae,Orthoreovirus,Reptilian orthoreovirus,None,None,None,Deadly
Filoviridae,Ebolavirus,Reston ebolavirus,None,Deadly,None,None
Retroviridae,Gammaretrovirus,Reticuloendotheliosis virus,None,None,SevereIllness,None
Coronaviridae,Alphacoronavirus,Rhinolophus bat coronavirus HKU2,None,None,None,None
Picornaviridae,Enterovirus,Rhinovirus A,MildIllness,None,None,None
Picornaviridae,Enterovirus,Rhinovirus B,MildIllness,None,None,None
Picornaviridae,Enterovirus,Rhinovirus C,MildIllness,None,None,None
Papillomaviridae,Rhopapillomavirus,Rhopapillomavirus 1,None,None,None,None
Papillomaviridae,Rhopapillomavirus,Rhopapillomavirus 2,None,None,None,None
Bunyaviridae,Phlebovirus,Rift Valley fever phlebovirus,Deadly,Deadly,None,None
Paramyxoviridae,Morbillivirus,Rinderpest virus,None,Deadly,None,None
Flaviviridae,Flavivirus,Rio Bravo virus,None,None,None,None
Bunyaviridae,Hantavirus,Rio Mamore hantavirus,Deadly,None,None,None
Togaviridae,Alphavirus,Rio Negro virus,None,None,None,None
Bunyaviridae,Hantavirus,Rio Segundo hantavirus,None,None,None,None
Parvoviridae,Erythroparvovirus,Rodent erythroparvovirus 1,None,None,None,None
Parvoviridae,Protoparvovirus,Rodent protoparvovirus 1,None,SevereIllness,None,None
Parvoviridae,Protoparvovirus,Rodent protoparvovirus 2,None,None,None,None
Picornaviridae,Rosavirus,Rosavirus A,None,None,None,None
Togaviridae,Alphavirus,Ross River virus,SevereIllness,SevereIllness,None,None
Reoviridae,Rotavirus,Rotavirus A,MildIllness,MildIllness,Deadly,None
Reoviridae,Rotavirus,Rotavirus B,MildIllness,MildIllness,None,None
Reoviridae,Rotavirus,Rotavirus C,MildIllness,MildIllness,None,None
Reoviridae,Rotavirus,Rotavirus D,None,None,Deadly,None
Reoviridae,Rotavirus,Rotavirus E,None,MildIllness,None,None
Reoviridae,Rotavirus,Rotavirus F,None,None,Deadly,None
Reoviridae,Rotavirus,Rotavirus G,None,None,Deadly,None
Reoviridae,Rotavirus,Rotavirus H,None,None,None,None
Hepadnaviridae,Orthohepadnavirus,Roundleaf bat hepatitis B virus,None,None,None,None
Retroviridae,Alpharetrovirus,Rous sarcoma virus,None,None,Deadly,None
Coronaviridae,Betacoronavirus,Rousettus bat coronavirus HKU9,None,None,None,None
Flaviviridae,Flavivirus,Royal Farm virus,None,None,None,None
Togaviridae,Rubivirus,Rubella virus,SevereIllness,None,None,None
Bunyaviridae,Hantavirus,Saaremaa hantavirus,SevereIllness,None,None,None
Arenaviridae,Mammarenavirus,Sabia mammarenavirus,Deadly,None,None,None
Flaviviridae,Flavivirus,Saboya virus,None,None,None,None
Herpesviridae,Unassigned,Saguinine gammaherpesvirus 1,None,None,None,None
Polyomaviridae,Betapolyomavirus,Saimiri boliviensis polyomavirus 1,None,None,None,None
Polyomaviridae,Betapolyomavirus,Saimiri sciureus polyomavirus 1,None,None,None,None
Herpesviridae,Simplexvirus,Saimiriine alphaherpesvirus 1,None,None,None,None
Herpesviridae,Cytomegalovirus,Saimiriine betaherpesvirus 4,None,None,None,None
Herpesviridae,Rhadinovirus,Saimiriine gammaherpesvirus 2,None,Deadly,None,None
Bunyaviridae,Nairovirus,Sakhalin nairovirus,None,None,None,None
Picornaviridae,Sakobuvirus,Sakobuvirus A,None,None,None,None
Flaviviridae,Flavivirus,Sal Vieja virus,None,None,None,None
Bunyaviridae,Phlebovirus,Salehabad phlebovirus,None,None,None,None
Picornaviridae,Salivirus,Salivirus A,MildIllness,None,None,None
Togaviridae,Alphavirus,Salmon pancreas disease virus,None,None,None,None
Flaviviridae,Flavivirus,San Perlita virus,None,None,None,None
Bunyaviridae,Phlebovirus,Sandfly fever Naples phlebovirus,MildIllness,None,None,None
Bunyaviridae,Hantavirus,Sangassou hantavirus,None,None,None,None
Picornaviridae,Sapelovirus,Sapelovirus A,None,MildIllness,None,None
Picornaviridae,Sapelovirus,Sapelovirus B,None,None,None,None
Caliciviridae,Sapovirus,Sapporo virus,MildIllness,None,None,None
Bunyaviridae,Orthobunyavirus,Sathuperi orthobunyavirus,None,None,None,None
Flaviviridae,Flavivirus,Saumarez Reef virus,None,None,None,None
Poxviridae,Betaentomopoxvirus,Schistocerca gregaria entomopoxvirus,None,None,None,None
Coronaviridae,Alphacoronavirus,Scotophilus bat coronavirus 512,None,None,None,None
Rhabdoviridae,Perhabdovirus,Sea trout perhabdovirus,None,None,None,None
Togaviridae,Alphavirus,Semliki Forest virus,MildIllness,None,None,None
Paramyxoviridae,Respirovirus,Sendai virus,None,MildIllness,None,None
Picornaviridae,Senecavirus,Senecavirus A,None,SevereIllness,None,None
Bunyaviridae,Hantavirus,Seoul hantavirus,Deadly,None,None,None
Flaviviridae,Flavivirus,Sepik virus,None,None,None,None
Polyomaviridae,Gammapolyomavirus,Serinus canaria polyomavirus 1,None,None,None,None
Coronaviridae,Betacoronavirus,Severe acute respiratory syndrome-related coronavirus,Deadly,MildIllness,None,None
Bunyaviridae,Phlebovirus,SFTS phlebovirus,Deadly,None,None,None
Bunyaviridae,Orthobunyavirus,Shamonda orthobunyavirus,None,None,None,None
Poxviridae,Capripoxvirus,Sheeppox virus,None,Deadly,None,None
Rhabdoviridae,Lyssavirus,Shimoni bat lyssavirus,None,None,None,None
Bunyaviridae,Orthobunyavirus,Shuni orthobunyavirus,None,SevereIllness,None,None
Picornaviridae,Sicinivirus,Sicinivirus A,None,None,None,None
Papillomaviridae,Sigmapapillomavirus,Sigmapapillomavirus 1,None,MildIllness,None,None
Bunyaviridae,Orthobunyavirus,Simbu orthobunyavirus,None,SevereIllness,None,None
Retroviridae,Spumavirus,Simian foamy virus,None,None,None,None
Arteriviridae,Arterivirus,Simian hemorrhagic encephalitis virus,None,None,None,None
Arteriviridae,Arterivirus,Simian hemorrhagic fever virus,None,Deadly,None,None
Retroviridae,Lentivirus,Simian immunodeficiency virus,None,Deadly,None,None
Adenoviridae,Mastadenovirus,Simian mastadenovirus A,None,None,None,None
Adenoviridae,Mastadenovirus,Simian mastadenovirus B,None,None,None,None
Adenoviridae,Mastadenovirus,Simian mastadenovirus C,None,None,None,None
Paramyxoviridae,Rubulavirus,Simian virus 41,None,None,None,None
Bunyaviridae,Hantavirus,Sin Nombre hantavirus,Deadly,None,None,None
Togaviridae,Alphavirus,Sindbis virus,SevereIllness,None,None,None
Adenoviridae,Siadenovirus,Skua siadenovirus A,None,None,None,None
Poxviridae,Orthopoxvirus,Skunkpox virus,None,None,None,None
Adenoviridae,Atadenovirus,Snake atadenovirus A,None,None,None,None
Rhabdoviridae,Novirhabdovirus,Snakehead novirhabdovirus,None,None,None,None
Retroviridae,Gammaretrovirus,Snyder-Theilen feline sarcoma virus,None,None,None,None
Togaviridae,Alphavirus,Southern elephant seal virus,None,None,None,None
Poxviridae,Avipoxvirus,Sparrowpox virus,None,None,SevereIllness,None
Parvoviridae,Dependoparvovirus,Squamate dependoparvovirus 1,None,None,None,None
Poxviridae,Leporipoxvirus,Squirrel fibroma virus,None,SevereIllness,None,None
Retroviridae,Betaretrovirus,Squirrel monkey retrovirus,None,None,None,None
Poxviridae,Unassigned,Squirrelpox virus,None,Deadly,None,None
Reoviridae,Orbivirus,St Croix River virus,None,None,None,None
Flaviviridae,Flavivirus,St. Louis encephalitis virus,Deadly,SevereIllness,None,None
Poxviridae,Avipoxvirus,Starlingpox virus,None,None,SevereIllness,None
Adenoviridae,Ichtadenovirus,Sturgeon ichtadenovirus A,None,None,None,None
Polyomaviridae,Alphapolyomavirus,Sturnira lilium polyomavirus 1,None,None,None,None
Filoviridae,Ebolavirus,Sudan ebolavirus,Deadly,Deadly,None,None
Herpesviridae,Varicellovirus,Suid alphaherpesvirus 1,None,Deadly,None,None
Herpesviridae,Unassigned,Suid betaherpesvirus 2,None,Deadly,None,None
Herpesviridae,Macavirus,Suid gammaherpesvirus 3,None,Deadly,None,None
Herpesviridae,Macavirus,Suid gammaherpesvirus 4,None,MildIllness,None,None
Herpesviridae,Macavirus,Suid gammaherpesvirus 5,None,MildIllness,None,None
Poxviridae,Suipoxvirus,Swinepox virus,None,SevereIllness,None,None
Bunyaviridae,Orthobunyavirus,Tacaiuma orthobunyavirus,SickUnknownCause,None,None,None
Arenaviridae,Mammarenavirus,Tacaribe mammarenavirus,None,None,None,None
Filoviridae,Ebolavirus,Tai Forest ebolavirus,SevereIllness,Deadly,None,None
Arenaviridae,Mammarenavirus,Tamiami mammarenavirus,None,None,None,None
Poxviridae,Yatapoxvirus,Tanapox virus,MildIllness,MildIllness,None,None
Poxviridae,Orthopoxvirus,Taterapox virus,None,None,None,None
Papillomaviridae,Taupapillomavirus,Taupapillomavirus 1,None,MildIllness,None,None
Papillomaviridae,Taupapillomavirus,Taupapillomavirus 2,None,MildIllness,None,None
Papillomaviridae,Taupapillomavirus,Taupapillomavirus 3,None,SevereIllness,None,None
Flaviviridae,Flavivirus,Tembusu virus,None,None,MildIllness,None
Hepadnaviridae,Orthohepadnavirus,Tent-making bat hepatitis B virus,None,None,None,None
Picornaviridae,Teschovirus,Teschovirus A,None,SevereIllness,None,None
Bunyaviridae,Orthobunyavirus,Tete orthobunyavirus,None,None,None,None
Bunyaviridae,Hantavirus,Thailand hantavirus,None,None,None,None
Papillomaviridae,Thetapapillomavirus,Thetapapillomavirus 1,None,SevereIllness,None,None
Bunyaviridae,Nairovirus,Thiafora nairovirus,None,None,None,None
Bunyaviridae,Orthobunyavirus,Thimiri orthobunyavirus,None,None,None,None
Orthomyxoviridae,Thogotovirus,Thogoto virus,SevereIllness,SevereIllness,None,None
Bunyaviridae,Hantavirus,Thottapalayam hantavirus,None,None,None,None
Coronaviridae,Deltacoronavirus,Thrush coronavirus HKU12,None,None,None,None
Rhabdoviridae,Tibrovirus,Tibrogargan tibrovirus,None,None,None,None
Flaviviridae,Flavivirus,Tick-borne encephalitis virus,Deadly,None,None,None
Bunyaviridae,Orthobunyavirus,Timboteua orthobunyavirus,None,None,None,None
Togaviridae,Alphavirus,Tonate virus,None,None,None,None
Bunyaviridae,Hantavirus,Topografov hantavirus,None,None,None,None
Anelloviridae,Thetatorquevirus,Torque teno canis virus,None,None,None,None
Anelloviridae,Zetatorquevirus,Torque teno douroucouli virus,None,None,None,None
Anelloviridae,Etatorquevirus,Torque teno felis virus,None,None,None,None
Anelloviridae,Etatorquevirus,Torque teno felis virus 2,None,None,None,None
Anelloviridae,Gammatorquevirus,Torque teno midi virus 1,None,None,None,None
Anelloviridae,Gammatorquevirus,Torque teno midi virus 10,None,None,None,None
Anelloviridae,Gammatorquevirus,Torque teno midi virus 11,None,None,None,None
Anelloviridae,Gammatorquevirus,Torque teno midi virus 12,None,None,None,None
Anelloviridae,Gammatorquevirus,Torque teno midi virus 13,None,None,None,None
Anelloviridae,Gammatorquevirus,Torque teno midi virus 14,None,None,None,None
Anelloviridae,Gammatorquevirus,Torque teno midi virus 15,None,None,None,None
Anelloviridae,Gammatorquevirus,Torque teno midi virus 2,None,None,None,None
Anelloviridae,Gammatorquevirus,Torque teno midi virus 3,None,None,None,None
Anelloviridae,Gammatorquevirus,Torque teno midi virus 4,None,None,None,None
Anelloviridae,Gammatorquevirus,Torque teno midi virus 5,None,None,None,None
Anelloviridae,Gammatorquevirus,Torque teno midi virus 6,None,None,None,None
Anelloviridae,Gammatorquevirus,Torque teno midi virus 7,None,None,None,None
Anelloviridae,Gammatorquevirus,Torque teno midi virus 8,None,None,None,None
Anelloviridae,Gammatorquevirus,Torque teno midi virus 9,None,None,None,None
Anelloviridae,Betatorquevirus,Torque teno mini virus 1,None,None,None,None
Anelloviridae,Betatorquevirus,Torque teno mini virus 10,None,None,None,None
Anelloviridae,Betatorquevirus,Torque teno mini virus 11,None,None,None,None
Anelloviridae,Betatorquevirus,Torque teno mini virus 12,None,None,None,None
Anelloviridae,Betatorquevirus,Torque teno mini virus 2,None,None,None,None
Anelloviridae,Betatorquevirus,Torque teno mini virus 3,None,None,None,None
Anelloviridae,Betatorquevirus,Torque teno mini virus 4,None,None,None,None
Anelloviridae,Betatorquevirus,Torque teno mini virus 5,None,None,None,None
Anelloviridae,Betatorquevirus,Torque teno mini virus 6,None,None,None,None
Anelloviridae,Betatorquevirus,Torque teno mini virus 7,None,None,None,None
Anelloviridae,Betatorquevirus,Torque teno mini virus 8,None,None,None,None
Anelloviridae,Betatorquevirus,Torque teno mini virus 9,None,None,None,None
Anelloviridae,Iotatorquevirus,Torque teno sus virus 1a,None,None,None,None
Anelloviridae,Iotatorquevirus,Torque teno sus virus 1b,None,None,None,None
Anelloviridae,Kappatorquevirus,Torque teno sus virus k2a,None,None,None,None
Anelloviridae,Kappatorquevirus,Torque teno sus virus k2b,None,None,None,None
Anelloviridae,Epsilontorquevirus,Torque teno tamarin virus,None,None,None,None
Anelloviridae,Deltatorquevirus,Torque teno tupaia virus,None,None,None,None
Anelloviridae,Alphatorquevirus,Torque teno virus 1,None,None,None,None
Anelloviridae,Alphatorquevirus,Torque teno virus 10,None,None,None,None
Anelloviridae,Alphatorquevirus,Torque teno virus 11,None,None,None,None
Anelloviridae,Alphatorquevirus,Torque teno virus 12,None,None,None,None
Anelloviridae,Alphatorquevirus,Torque teno virus 13,None,None,None,None
Anelloviridae,Alphatorquevirus,Torque teno virus 14,None,None,None,None
Anelloviridae,Alphatorquevirus,Torque teno virus 15,None,None,None,None
Anelloviridae,Alphatorquevirus,Torque teno virus 16,None,None,None,None
Anelloviridae,Alphatorquevirus,Torque teno virus 17,None,None,None,None
Anelloviridae,Alphatorquevirus,Torque teno virus 18,None,None,None,None
Anelloviridae,Alphatorquevirus,Torque teno virus 19,None,None,None,None
Anelloviridae,Alphatorquevirus,Torque teno virus 2,None,None,None,None
Anelloviridae,Alphatorquevirus,Torque teno virus 20,None,None,None,None
Anelloviridae,Alphatorquevirus,Torque teno virus 21,None,None,None,None
Anelloviridae,Alphatorquevirus,Torque teno virus 22,None,None,None,None
Anelloviridae,Alphatorquevirus,Torque teno virus 23,None,None,None,None
Anelloviridae,Alphatorquevirus,Torque teno virus 24,None,None,None,None
Anelloviridae,Alphatorquevirus,Torque teno virus 25,None,None,None,None
Anelloviridae,Alphatorquevirus,Torque teno virus 26,None,None,None,None
Anelloviridae,Alphatorquevirus,Torque teno virus 27,None,None,None,None
Anelloviridae,Alphatorquevirus,Torque teno virus 28,None,None,None,None
Anelloviridae,Alphatorquevirus,Torque teno virus 29,None,None,None,None
Anelloviridae,Alphatorquevirus,Torque teno virus 3,None,None,None,None
Anelloviridae,Alphatorquevirus,Torque teno virus 4,None,None,None,None
Anelloviridae,Alphatorquevirus,Torque teno virus 5,None,None,None,None
Anelloviridae,Alphatorquevirus,Torque teno virus 6,None,None,None,None
Anelloviridae,Alphatorquevirus,Torque teno virus 7,None,None,None,None
Anelloviridae,Alphatorquevirus,Torque teno virus 8,None,None,None,None
Anelloviridae,Alphatorquevirus,Torque teno virus 9,None,None,None,None
Anelloviridae,Lambdatorquevirus,Torque teno zalophus virus 1,None,None,None,None
Retroviridae,Gammaretrovirus,Trager duck spleen necrosis virus,None,None,None,None
Adenoviridae,Mastadenovirus,Tree shrew mastadenovirus A,None,None,None,None
Papillomaviridae,Treisdeltapapillomavirus,Treisdeltapapillomavirus 1,None,None,None,None
Papillomaviridae,Treisepsilonpapillomavirus,Treisepsilonpapillomavirus 1,None,None,None,None
Papillomaviridae,Treisetapapillomavirus,Treisetapapillomavirus 1,None,None,None,None
Papillomaviridae,Treiszetapapillomavirus,Treiszetapapillomavirus 1,None,None,None,None
Picornaviridae,Tremovirus,Tremovirus A,None,None,Deadly,None
Togaviridae,Alphavirus,Trocara virus,None,None,None,None
Bunyaviridae,Hantavirus,Tula hantavirus,SickUnknownCause,None,None,None
Rhabdoviridae,Tupavirus,Tupaia tupavirus,None,None,None,None
Herpesviridae,Unassigned,Tupaiid betaherpesvirus 1,None,None,None,None
Adenoviridae,Aviadenovirus,Turkey aviadenovirus B,None,None,Deadly,None
Adenoviridae,Aviadenovirus,Turkey aviadenovirus C,None,None,None,None
Adenoviridae,Aviadenovirus,Turkey aviadenovirus D,None,None,None,None
Adenoviridae,Siadenovirus,Turkey siadenovirus A,None,None,Deadly,None
Poxviridae,Avipoxvirus,Turkeypox virus,None,None,SevereIllness,None
Bunyaviridae,Orthobunyavirus,Turlock orthobunyavirus,None,None,None,None
Coronaviridae,Betacoronavirus,Tylonycteris bat coronavirus HKU4,None,None,None,None
Flaviviridae,Flavivirus,Tyuleniy virus,None,None,None,None
Flaviviridae,Flavivirus,Uganda S virus,None,None,None,None
Reoviridae,Orbivirus,Umatilla virus,None,None,None,None
Togaviridae,Alphavirus,Una virus,None,None,None,None
Parvoviridae,Bocaparvovirus,Ungulate bocaparvovirus 1,None,MildIllness,None,None
Parvoviridae,Bocaparvovirus,Ungulate bocaparvovirus 2,None,None,None,None
Parvoviridae,Bocaparvovirus,Ungulate bocaparvovirus 3,None,None,None,None
Parvoviridae,Bocaparvovirus,Ungulate bocaparvovirus 4,None,None,None,None
Parvoviridae,Bocaparvovirus,Ungulate bocaparvovirus 5,None,None,None,None
Parvoviridae,Copiparvovirus,Ungulate copiparvovirus 1,None,None,None,None
Parvoviridae,Copiparvovirus,Ungulate copiparvovirus 2,None,None,None,None
Parvoviridae,Erythroparvovirus,Ungulate erythroparvovirus 1,None,None,None,None
Parvoviridae,Protoparvovirus,Ungulate protoparvovirus 1,None,SevereIllness,None,None
Parvoviridae,Tetraparvovirus,Ungulate tetraparvovirus 1,None,None,None,None
Parvoviridae,Tetraparvovirus,Ungulate tetraparvovirus 2,None,None,None,None
Parvoviridae,Tetraparvovirus,Ungulate tetraparvovirus 3,None,None,None,None
Parvoviridae,Tetraparvovirus,Ungulate tetraparvovirus 4,None,None,None,None
Papillomaviridae,Upsilonpapillomavirus,Upsilonpapillomavirus 1,None,None,None,None
Papillomaviridae,Upsilonpapillomavirus,Upsilonpapillomavirus 2,None,None,None,None
Papillomaviridae,Upsilonpapillomavirus,Upsilonpapillomavirus 3,None,None,None,None
Retroviridae,Alpharetrovirus,UR2 sarcoma virus,None,None,SevereIllness,None
Flaviviridae,Flavivirus,Usutu virus,SevereIllness,None,Deadly,None
Bunyaviridae,Phlebovirus,Uukuniemi phlebovirus,SevereIllness,None,None,None
Poxviridae,Orthopoxvirus,Vaccinia virus,None,None,None,None
Poxviridae,Orthopoxvirus,Variola virus,Deadly,None,None,None
Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,Deadly,MildIllness,None,None
Caliciviridae,Vesivirus,Vesicular exanthema of swine virus,None,Deadly,None,None
Retroviridae,Gammaretrovirus,Viper retrovirus,None,None,None,None
Retroviridae,Lentivirus,Visna/maedi virus,None,Deadly,None,None
Poxviridae,Orthopoxvirus,Volepox virus,None,None,None,None
Reoviridae,Orbivirus,Wad Medani virus,None,None,None,None
Reoviridae,Orbivirus,Wallal virus,None,None,None,None
Retroviridae,Epsilonretrovirus,Walleye dermal sarcoma virus,None,None,None,None
Retroviridae,Epsilonretrovirus,Walleye epidermal hyperplasia virus 1,None,None,None,None
Retroviridae,Epsilonretrovirus,Walleye epidermal hyperplasia virus 2,None,None,None,None
Reoviridae,Orbivirus,Warrego virus,None,None,None,None
Bornaviridae,Bornavirus,Waterbird 1 bornavirus,None,None,Deadly,None
Arenaviridae,Mammarenavirus,Wenzhou mammarenavirus,None,None,None,None
Flaviviridae,Flavivirus,Wesselsbron virus,SickUnknownCause,Deadly,None,None
Rhabdoviridae,Lyssavirus,West Caucasian bat lyssavirus,None,None,None,None
Flaviviridae,Flavivirus,West Nile virus,Deadly,Deadly,Deadly,None
Togaviridae,Alphavirus,Western equine encephalitis virus,Deadly,Deadly,None,None
Togaviridae,Alphavirus,Whataroa virus,None,None,None,None
Coronaviridae,Bafinivirus,White bream virus,None,None,None,None
Coronaviridae,Deltacoronavirus,White-eye coronavirus HKU16,None,None,None,None
Arenaviridae,Mammarenavirus,Whitewater Arroyo mammarenavirus,SickUnknownCause,None,None,None
Coronaviridae,Deltacoronavirus,Wigeon coronavirus HKU20,None,None,None,None
Arteriviridae,Unassigned,Wobbly possum disease virus,None,Deadly,None,None
Rhabdoviridae,Unassigned,Wongabel virus,None,None,None,None
Reoviridae,Orbivirus,Wongorr virus,None,None,None,None
Hepadnaviridae,Orthohepadnavirus,Woodchuck hepatitis virus,None,MIldIllness,None,None
Hepadnaviridae,Orthohepadnavirus,Woolly monkey hepatitis B virus,None,MildIllness,None,None
Retroviridae,Gammaretrovirus,Woolly monkey sarcoma virus,None,None,None,None
Bunyaviridae,Orthobunyavirus,Wyeomyia orthobunyavirus,SickUnknownCause,None,None,None
Papillomaviridae,Xipapillomavirus,Xipapillomavirus 1,None,SevereIllness,None,None
Papillomaviridae,Xipapillomavirus,Xipapillomavirus 2,None,None,None,None
Papillomaviridae,Xipapillomavirus,Xipapillomavirus 3,None,None,None,None
Retroviridae,Alpharetrovirus,Y73 sarcoma virus,None,None,None,None
Poxviridae,Yatapoxvirus,Yaba monkey tumor virus,MildIllness,MildIllness,None,None
Flaviviridae,Flavivirus,Yaounde virus,None,None,None,None
Flaviviridae,Flavivirus,Yellow fever virus,Deadly,Deadly,None,None
Flaviviridae,Flavivirus,Yokose virus,None,None,None,None
Reoviridae,Orbivirus,Yunnan orbivirus,None,None,None,None
Filoviridae,Ebolavirus,Zaire ebolavirus,Deadly,Deadly,None,None
Polyomaviridae,Betapolyomavirus,Zalophus californianus polyomavirus 1,None,None,None,None
Bunyaviridae,Orthobunyavirus,Zegla orthobunyavirus,None,None,None,None
Papillomaviridae,Zetapapillomavirus,Zetapapillomavirus 1,None,None,None,None
Flaviviridae,Flavivirus,Zika virus,SevereIllness,MildIllness,None,None
